tick,market_price
1977,100.484
1978,100.482
1979,100.487
1980,100.487
1981,100.485
1982,100.482
1983,100.48
1984,100.477
1985,100.479
1986,100.477
1987,100.472
1988,100.472
1989,100.476
1990,100.475
1991,100.471
1992,100.473
1993,100.472
1994,100.467
1995,100.465
1996,100.464
1997,100.464
1998,100.471
1999,100.479
2000,100.481
2001,100.483
2002,100.487
2003,100.494
2004,100.496
2005,100.502
2006,100.504
2007,100.509
2008,100.512
2009,100.511
2010,100.517
2011,100.515
2012,100.516
2013,100.514
2014,100.512
2015,100.515
2016,100.517
2017,100.517
2018,100.513
2019,100.521
2020,100.518
2021,100.52
2022,100.521
2023,100.529
2024,100.533
2025,100.535
2026,100.53
2027,100.532
2028,100.537
2029,100.539
2030,100.541
2031,100.54
2032,100.539
2033,100.532
2034,100.532
2035,100.531
2036,100.526
2037,100.529
2038,100.526
2039,100.528
2040,100.527
2041,100.527
2042,100.53
2043,100.534
2044,100.538
2045,100.543
2046,100.529
2047,100.52
2048,100.516
2049,100.515
2050,100.51
2051,100.511
2052,100.519
2053,100.522
2054,100.518
2055,100.517
2056,100.516
2057,100.521
2058,100.521
2059,100.518
2060,100.542
2061,100.585
2062,100.62
2063,100.63
2064,100.63
2065,100.62
2066,100.612
2067,100.602
2068,100.592
2069,100.579
2070,100.551
2071,100.513
2072,100.485
2073,100.428
2074,100.418
2075,100.413
2076,100.415
2077,100.414
2078,100.41
2079,100.413
2080,100.412
2081,100.414
2082,100.409
2083,100.408
2084,100.41
2085,100.41
2086,100.409
2087,100.404
2088,100.406
2089,100.407
2090,100.401
2091,100.395
2092,100.394
2093,100.394
2094,100.395
2095,100.399
2096,100.402
2097,100.405
2098,100.41
2099,100.407
2100,100.404
2101,100.409
2102,100.415
2103,100.424
2104,100.449
2105,100.483
2106,100.499
2107,100.499
2108,100.503
2109,100.505
2110,100.506
2111,100.508
2112,100.511
2113,100.511
2114,100.509
2115,100.51
2116,100.508
2117,100.51
2118,100.512
2119,100.511
2120,100.512
2121,100.51
2122,100.512
2123,100.509
2124,100.51
2125,100.509
2126,100.495
2127,100.48
2128,100.465
